reference_number,category,name,control,,hazard_control_method,risk
437,Felling,Double leaders,"Double leaders are difficult to assess and may have rot or split from the crutch down the butt which will upset hinge wood. Take
special care when assessing the lean. Look for signs of rot from the crutch to the ground. Fell with the lean. Fell each leader
separately, if possible, and then cut the stump down.",,Eliminate,
430,Felling,Falling debris,"Debris that falls out of the tree as the tree is felled and/or soon after the tree has been felled. Carefully assess each tree before
felling. Use safe, prescribed felling practices. Have escape routes planned. Look up frequently and be alert. Wear your safety
helmet and eye protection. Where possible use a machine to assist.",,Minimise,
429,Felling,Falling trees,"A falling tree is a hazard to everyone within two tree lengths. In some circumstances, more than two tree lengths will be necessary.Use safe prescribed felling practices. Use appropriate signs when near a road. Be aware of the conditions. Keep equipment andclothing in good order. Have good communications within the crew. Approach fallers carefully (do not enter the felling are untilacknowledged or signalled to do so). Do not fell any tree(s) within 4 metres of any power lines unless approval has been given bythe local power authority. Fell all trees so as to aid extraction.",,Isolate,
422,Felling,Fatigue,"Felling is a physically demanding job and fatigue is common. Fatigue reduces concentration and alertness. Ensure adequate fluid
intake during the day. Avoid delimbing too many trees in a row. The advised method is fell one, delimb one. Take regular rest
breaks. Get a good night sleep and/or ensure a good diet.",,Eliminate,
445,Felling,Felling trees near skid site,"If possible fell all trees around the skid before skid work starts. Or alternatively, fell trees during smoko breaks while other workers
are out of the way.",,Eliminate,
424,Felling,Ground conditions,"The forest floor is generally covered in forest debris, making walking and felling hazardous. Wear good boots, with spikes if
necessary. Be alert to the conditions. Look where you are going.",,Minimise,
433,Felling,Hang ups,"Don’t work underneath or in front of any hang-up. Where possible, use a machine to pull down the hang up. Get it down as soon as
possible or seek assistance. Be aware that when a faller is opening up a hole to start a felling face, hang-ups can occur and the
faller may need machine assistance. If possible pick a hole to start a felling face. Never leave the job with hang-ups still in the bush.",,Eliminate,
436,Felling,Heavy leaner’s,"When a tree is leaning at a steep angle the top side of the tree is under tension. This causes slabbing while felling. Ensure correct
assessment - take your time. Use approved felling techniques. If possible use a machine to push the tree over.",,Eliminate,
427,Felling,High winds,"Watch for high winds and stop work if the bush becomes too dangerous. Remember to gauge the wind velocity at the top of the tree,
as this is also where dangerous debris could be blown from. Look for uprooted trees to assess the stand’s wind proneness.",,Isolate,
426,Felling,Lack of visibility,"Wear high visibility clothing. Let a crew mate know where you are and what you are doing. Stop work if conditions become
hazardous.",,Minimise,
434,Felling,Limb tied trees,"Always carefully assess the situation and ensure that you can manage the hazard effectively. Do not attempt to eliminate the hazardit is beyond your control. If in any doubt, use an observer and/or have someone assist you. Plan what to do in case the trees to dofall i.e. where practicable have a machine ready to assist, or have another tree selected and cleared around to fell onto the hazardto drive it down. Plan and prepare good escape route(s). Use good felling techniques and cut up as much of each tree as ispracticably possible. Where practicable and safe to do so insert a wedge in each tree and wedge it up the appropriate tree(s).",,Eliminate,
432,Felling,Loaded debris,"Loaded debris flying back toward the faller after impact. Stand back. Be aware this may happen – you may need to move quickly.
Plan and clear a fast escape route. Get behind a standing tree if possible.",,Isolate,
443,Felling,Machinery,"Moving machinery is a causational hazard to fallers and machine operators. Always ensure that there is good communications
between faller and machine operator so as to ensure that you know where each other is and the areas you are working in.",,Isolate,
419,Felling,Rain,"Rain makes conditions under foot unsafe, reduces visibility, drops the temperature and may cause hypothermia. Good footwear,
spikes if necessary. Have extra clothing available. Be aware of the conditions and wear suitable clothing. Stop work if conditions
become too difficult.",,Minimise,
442,Felling,Root plates,"Root plates against standing trees and lying on the side of a hill, etc could move without warning. If a root plate against a standingtree can not be removed then the cut the tree off at a safe position so as to leave a higher stump to support the root plate.Windblown tree – If the root plate can not be cut off safely then pull it out to a safe place, if necessary cut the tree into a manageablelength that the extraction machine can handle. Any root plate on the side of a hill that is considered unstable should be moved to asafe position.",,Eliminate,
420,Felling,Sun,"The sun can stop you looking up and seeing SAILORS and hang ups, etc. Work a different part of the bush it becomes a problem.
Be aware that it is a problem and may prevent you from seeing overhead hazards, look from a different angle. View the tree to be
felled so the sun is not a problem. Over exposure to the sun is a problem, use sunscreen, wears adequate clothing to cover
exposed skin and wear food quality sun glasses.",,Eliminate,
423,Felling,Terrain,"Cliffs, steep banks, rock outcrops, bluffs, mineshafts etc. Look where you are going. Be aware and communicate with the rest of the
crew where hazards are identified and clearly explain the location. If possible, mark them with hazard tape or paint if they are
obscure.",,Isolate,
438,Felling,Trees uprooting,"Be aware of this if common in a stand. Fell in pairs as a team and watch each other, of it there is a high chance of uprooting use an
observer. Try to avoid brushing standing trees when felling. If a falling tree brushes a standing tree – fell the standing tree as a
precaution. If cutting an uprooted tree use correct work methods and be alert. If in doubt get assistance.",,Eliminate,
444,Felling,Trucks/Vehicles travelling through felling area,"Ensure correct signs are in place. Have radio communications especially if out of sight. Use a flag person or close a road when
necessary.",,Isolate,
425,Felling,Undergrowth,"Undergrowth can impair visibility of the tree top and hinder the escape route, and vines tangled in trees. Clear all the undergrowth
and where possible be alert for vines tangled in trees. Clear and ensure a good escape path. Use the extraction machine to crush
the worst of the debris is possible.",,Eliminate,
431,Felling,Undulating terrain,"Felling over sharp rises can cause the butt to flick up and the tree to bounce. Move further back along the escape route that normal.
Be aware of the butt flicking up and/or sliding back. Choose a safer direction to fell if possible. Scarf the tree higher up the stem if
necessary.",,Eliminate,
428,Felling,Wedging,"Wedging is a common method to assist with directional felling. If places incorrectly in the cut, a wedge can fly out when hit. Ensure
wedge is places correctly before hammering. Keep wedges and hammer in good condition. Ensure adequate training and were
practicable – wear eye protection. Call for a machine (if possible) where wedging fails to push the tree over.",,Eliminate,
439,Felling,Wind throw,"Wind throw creates a very dangerous situation with trees tangled up on the ground, and as a result, under tension andcompression, which is often violently released when the trees are cut. Only experienced fallers should be used. Do not work forwardof standing trees amongst wind throw. Where possible extract wind thrown trees before trimming. Use machines to aid fallers asmuch as possible. Always put yourself in a safe position, e.g. further than the tallest tree, before having any standing windblown treepulled down.",,Eliminate,
440,Felling,Windblown trees on the ground,"Ensure that the chainsaw you are using or will use has a suitable length bar that allows you to keep your body well clear of wood
releasing under tension.",,Isolate,
421,Felling,Working alone,"Tell people where you are going. Regularly visit or check any isolated faller (e.g. once every 15 - 30 minutes), checking should not
exceed one hour. Never work out of visual contact unless you are in radio contact with another worker or wear an audible alarm
device.",,Minimise,
301,Fire,Alumugel,Wear woollen clothing. Keep wand fully extended away from body. Do throw flame into wind. Wear woollen clothing. Check allequipment prior to use to ensure no leaks of gas or diesel. Do not use faulty equipment. Use equipment in good order with no leaks.Provide clean water and soap on site for washing. Ensure no synthetic clothing is worn. Wear appropriate Ground Wear leatherclothing for handling wand. Personnel should have a spare set of clothes. Place communications away from noise and wheretransmitter can be triggered. Move across fire line at pace that allows avoidance of stabling and falling. Fill burners carefully toprevent spillage of diesel onto outside of packs. crews to keep well away from each section helicopter is lighting up. Maintaincommunication with helicopter. Ensure correct PPE (protective equipment is worn).,,Isolate,
271,Fire,Bush Fire,"Communicate planning strategies to all personnel. Training in strategies for safety. Always work on the flank or up wind of fires.
Wear appropriate protective gear.",,Isolate,
339,Fire,Dress,"Wear heavy clothing that will not burn and that covers all exposed skin. Wear lace up boots, helmet, and respirator if available.",,Minimise,
349,Fire,Failure to identify hazards,"Review all safety procedures to ensure appropriateness for control strategies. Ensure all onsite personnel have been taken through
all hazards and controls in place.",,Eliminate,
376,General Harvesting,Back strain,"Repetitive strain injury to back can be a painful and debilitating injury. Regularly straighten your back and lean backwards. Use
machinery for lifting heavy objects.",,Eliminate,
379,General Harvesting,Bees/Wasps,"Any person who is allergic to bee/wasp stings must carry their own emergency kit, and make sure others are aware of their
condition. If possible, keep away from visible bees/wasps. Be aware of emergency procedures and who is able to administer First
Aid.",,Minimise,
375,General Harvesting,Boredom,"Boredom leads to people becoming careless and not paying attention, and can lead to injury or death. Training and goal setting
required.",,Minimise,
412,General Harvesting,Cannabis plots,"These plots create additional hazards are there is a danger from hidden wires (booby traps) and netting which is used for crop
protection. If you discover a plot STOP WORK and move away from it. If it is possible work in another area of the forest. Notify the
Land/Forest Owner or the POLICE as soon as possible. Be aware that machinery could be sabotaged; therefore ensure that all
machinery and fuel is thoroughly checked before using it at the start of each shift.",,Isolate,
383,General Harvesting,Carrying hand tools,All hand tools are to be carried in such a manner that they can be thrown in the event of a slip or fall.,,Eliminate,
391,General Harvesting,Carrying loose tools/equipment in machine cab,"Any equipment, which is not tied, down or fitted to the cab of an operating machine, is hazardous to the operator. Don't carry
anything that it likely to be hazardous to the operator. Secure all objects that need to be in the cab",,Eliminate,
401,General Harvesting,Chainsaws,"Keep the chainsaw well tuned and use correct fuel mixture. Keep the saw in good working condition and all safety features in
working order. Make sure you are physically suitable and well trained or under supervision. Maintain the saw, particularly the mounts
and chain. Wear the correct protective gear e.g. eye protection, safety boots, ear muffs, safety trousers or chaps. Keep the
chainsaw well turned and use correct fuel mixture. Keep the saw in good working condition and all safety features in working order.",,Minimise,
407,General Harvesting,Colour blindness,"Persons who are colour blind have problems mainly seeing red, pink and orange. Use hi-viz yellow/green helmets and clothing.",,Minimise,
382,General Harvesting,"Debris (Sawdust, chips etc)","Sawdust, chips etc can be thrown into the face and also inhaled. Where practicable, wear eye protection and/or face mask.",,Minimise,
377,General Harvesting,Fatigue,"Fatigue reduces concentration and alertness. Ensure adequate fluid intake during the day. Build up fitness for job over a period of
time. Take regular rest breaks. Get a good night sleep and/or ensure a good diet.",,Minimise,
406,General Harvesting,Handling materials,"Chemicals must be handled so that they do not come in contact with heat or flame. always properly drain drums and other
containers as soon as empty. Do not remove any containers from a site for other use without authorisation from management, as
they may contain hazardous materials. Correct protective clothing and equipment must be used when handling hazardous material.",,Eliminate,
396,General Harvesting,Hydraulic & equipment failure,"Always prop up a raised piece of machinery when working underneath it - check supports. Never work on or around hydraulics when
they are under pressure. Always prop up or secure rams and parts that could drop or fall during repairs. Isolate (double check) all
machinery when making repairs and ensure that operators have permission from their supervisor before re-engaging equipment.",,Eliminate,
400,General Harvesting,Interaction between machines and people,"Machines working together are obvious hazards to each other, communications can be difficult, there is often not much space, andthe operators may have limited vision. Put in place good simple systems and signals. Have radios fitted to machines. Be aware ofeach other and where everyone is. Wear a seat belt. Make sure you have operator's attention before approaching. Fit mirrors andensure that mirrors and windows are kept clean. Ensure all crew members are clear of the logs you are moving before proceeding.Stand clear of the logs if a machine is moving, plus those logs which may move as a result of nearby logs being moved. Useseparate skids where possible. f you need to enter this area always ensure that eye or radio contact has been made with theoperator before moving into the area or approaching the machine. Excavators - The wing area is the danger zone, avoid enteringthe area. Avoid working for long periods in heavy undergrowth.",,Eliminate,
403,General Harvesting,Kickback,"Use a long mitt and wear protective clothing. Position yourself in a safe, solid stance before cutting. Avoid using the tip of the bar.
Use correct cutting techniques for all situations. Maintain the chain brake in good working order. Don't over file depth gauges, use
correct filing tools. Do not rev the chainsaw unless you are going to cut with it.",,Minimise,
374,General Harvesting,Loose clothing,Loose Clothing can get caught in moving parts or machinery. Do boots up properly.,,Eliminate,
405,General Harvesting,Manual handling,"The physical handling of materials often involves activities requiring the use of personal force in order to lift, push, pull, carry orrestrain an object. Back and muscle strain injuries can be avoided by following these guidelines. Plan the lift by estimating the loadand knowing exactly where it is to be placed. Ensure the access to the area is clear. Where possible, use mechanical liftingequipment. Hold the load as close as possible to your body. Avoid twisting while lifting or carrying. Take care to reduce thelikelihood of slips and falls and jarring of the spine.",,Eliminate,
390,General Harvesting,Mounting or dismounting machines,"Do not ""leap"" at or off a machine, there is no hurry. Ensure footwear is in good condition and done up. Keep steps in good condition,
report any defects.",,Eliminate,
388,General Harvesting,Operator's limited vision,"Dirty windows and mirrors create additional hazards for the operator and all other persons near the machine. Ensure that all
windows and mirrors are kept as clean as possible while machine is in operation. Replace or repair if damaged.",,Eliminate,
389,General Harvesting,Parking of machinery at end of shift,"Park on stable ground, clear of any area used by other vehicles. Keep 5 metres clear of other machines. Park facing exists. Report
and mechanical problems of concerns. Ensure machine is stationary, with blade or attachments on the ground, brakes on.",,Isolate,
393,General Harvesting,Parking of vehicles,"Vehicles and smoko huts are to be kept clear from work areas. The parking area is to be of stable ground. Always have a vehicle
fuelled up and ready in case of emergency. Don't park under high battens and park facing exits.",,Eliminate,
409,General Harvesting,"Power, transmission and telephone lines","Always treat all lines as ""live"". Where lines exist develop and action place in conjunction with the local power or telephone authority.The plan may include leaving a buffer zone of at least two tree lengths from the lines prior to working in closer proximity to the lines.In general, do not fell any trees, or carry out any work, or operate any machinery that will come within 4.5 metres of any over headpower or telephone lines or 50 metres of any transmission lines unless authorised by the local power or telephone authority. If indoubt have the lines disconnected.",,Isolate,
399,General Harvesting,Public and unauthorised vehicles,"The public and unauthorised vehicles not only create hazards for themselves by ignoring signs but also to all workers. Ensure that
correct and sufficient signs are in place. Always be on the alert for someone who has ignored the signs.",,Isolate,
387,General Harvesting,Pulling ropes,Use arms and legs - not backs. Where the conditions are suitable - wear spiked boots.,,Eliminate,
402,General Harvesting,Saw vibration,"Continuous vibration can permanently damage the nerves, blood vessels, tendons and joints in the hands, fingers and wrists.
Maintain the saw, particularly the mounts and chain. Wear gloves on cold mornings.",,Minimise,
398,General Harvesting,Sharp knives and tools,"Wear gloves where possible. Use the correct tools for sharpening and where necessary, wear eye protection.",,Minimise,
394,General Harvesting,Shifting machinery,Check the route well before shifting. When necessary use a pilot vehicle.,,Minimise,
381,General Harvesting,Smoking,Do not smoke in confined areas forcing some on others. Ensure that all butts are properly extinguished.,,Eliminate,
395,General Harvesting,"Soft roads, tight corners and road gradients",Notify the forest owner of any hazards or potential hazards.,,Eliminate,
384,General Harvesting,Splicing or cutting ropes,"Wear gloves. Where necessary, wear leg protection e.g. overalls.",,Eliminate,
380,General Harvesting,Stinging nettle,"Stinging can cause irritation and allergic reactions. Wear gloves, long sleeve shirt and trousers. Ensure that an antihistamine (itch
cream) is readily available.",,Minimise,
378,General Harvesting,"Sun, Rain/Lightning and Cold Weather","Rain reduces visibility, change in the temperature many cause hypothermia. Lightning is also hazardous. When lightning is present
stop work until it has passed. Be aware of the conditions. Stop work if conditions become difficult. Over exposure to the sun is a
hazard. Be aware that it is a problem, use sunscreen, and wear adequate clothing to cover exposed skin and good quality
sunglasses.",,Minimise,
404,General Harvesting,Terrain,"Steep, broken, unstable, bluffs, overhanging rocks, mineshafts, water races, dredge, ponds etc. Look where you are going - Do not
exceed your ability. Do not encroach any closer than 2 metres from the edge of any bluff or rock over hang that has a crop of more
than 3 metres, unless you have a safety line. If you have a problem with heights do not exceed your own ability. Be aware and
communicate with the rest of the crew where hazards are identified and clearly explain the location.",,Isolate,
392,General Harvesting,Transportation of workers,"Hazards exist when loose tools/fuel or equipment is carried in the passenger area of a vehicle carrying workers. Use caged off area
in back of van for all tools, equipment etc. Secure loose objects & do not overload vehicle. Fuel to be in a proper sealed
compartment or on the back of vehicle. When driving of forest roads travel at a safe speed suitable for the conditions, be alert for
other road users and expect that a vehicle could be coming around every corner, do not drive by the radio.",,Isolate,
408,General Harvesting,Trucks carting full tree lengths,"Due to over hang, tail swing and protruding branches and size of vehicle there is additional hazards to all other road users. Ensurethe appropriate warning signs are positioned in the appropriate places on all roads being used by the truck and trailer unit. Wherepracticable, use the Road Closed signs and tape at all entry points to the road (s) being used. No other vehicles or machinery are totravel in the opposing direction to the truck and trailer unit, unless in full radio contact with the truck driver and have his approval todo so. If you have to use the road either travel ahead of the truck and trailer unit or follow it. Report any person disobeying signs orinstructions to the employer or the person in charge. Ensure that the truck complies with forest company minimum requirements.",,Isolate,
386,General Harvesting,Using water blaster,Ensure adequate training. Be aware that inappropriate use is dangerous i.e. inserting in body orifices can result in death.,,Minimise,
397,General Harvesting,Visitors to be met and escorted to a safe place,Ensure that correct and sufficient signs are in place. All visitors in operational area must wear hi-viz and safety gear.,,Minimise,
385,General Harvesting,"Welding, cutting and grinding equipment","Wear correct eye protection. Ensure that adequate fire fighting gear is available and in good condition. Ensure that adequate fire
fighting gear is available and in good condition.",,Minimise,
410,General Harvesting,Works above a road,"Pushing material off a skid site or road & log extraction - above a road. Always check to ensure that no person or machine is
working below.",,Isolate,
163,General Machines,Crushed or run over,"Never be directly in front of, between the wheel, close alongside, on the tracks or directly behind a machine being started oroperated. Both machine and transport operator must be present during uplift and unloading of machines. Do not ride on drawbar,dozer blade, frame or material being pulled by a tractor. Avoid operating tractors alone in isolated area or on dangerous jobs. Workin pairs where possible. Permission may be given for tractors to work alone in isolated areas on non-hazardous work providing theyare equipped with and are in contact by radio telephone.",,Eliminate,
165,General Machines,Falling implements,Blades and accessories lowered by gravity or hydraulics must be resting on the ground when the tractor is shut down.,,Eliminate,
159,General Machines,Getting run over or pinned by own machine,Always apply hand brake when machine is stationary.,,Eliminate,
155,General Machines,Inadequate brakes,Carry out pre start checks and ensure machine is maintained properly at all times.,,Eliminate,
178,General Machines,Maintenance Hygiene,Have clean water and soap on site for washing.,,Minimise,
157,General Machines,Moving machinery and visitors,Never get on or off moving equipment.,,Eliminate,
170,General Machines,Overhanging Banks,"Be careful when working near the edge of banks or overhanging material. The vibration and weight of your machine may cause the
edge to give away or over hanging material to fall. Use extreme caution when going over obstacles when headed down hill. Use
dipper arm to assist in downhill manoeuvres. Never get on to equipment that has stopped without notifying the operator.",,Isolate,
161,General Machines,Passenger seating,"Never ride on a tractor not designed to carry passengers. To carry passengers, a seat and seat belt approved by an inspector
should be provided.",,Eliminate,
179,General Machines,Refuelling,Ensure secure footing while refuelling to avoid slipping.,,Eliminate,
148,General Machines,Roll over,"All machines shall be equipped with a canopy to provide adequate protection for the operator. It shall be constructed so that it will
not impair movement to prevent escape in the event of an emergency.",,Minimise,
151,General Machines,Speed and general operations on rough terrain,"Never attempt to clean, lubricate or repair a machine with the engine running except where final adjustments require it. Never getunder an unblocked, raised blade or accessory for any purpose. Seat belts to New Zealand standards are provided and must beused at all times. Reduce speed before making a turn. If the speed of the tractor is doubled, the danger of over turning is increasedfour times. On steep cross slopes, avoid running over rocks, stumps or logs, especially with the upper track or wheels. No smokingwhile refuelling. Ensure diesel tanker/containers are in good condition with no leaks.",,Eliminate,
164,General Machines,Transportation,"Shut down defective machinery until repairs are made and the machine is inspected and tested before returning to service. Nevermake adjustments when the tractor is in motion. Look over the ground to be travelled and worked. Use aerial photographs orcontour maps, if available, for assistance. If ground can not been seen from the drivers seat, dismount and examine beforeproceeding unless you have an observer. Before transporting tractors, check route for overhead and side clearance, culverts andbridges for width and load limits, overhead powerlines, road weight limits and school bus routes.",,Eliminate,
154,General Machines,Working on steep terrain,Equipped with brakes that are capable of holding the machine on any gradient on which is operated.,,Eliminate,
149,General Machines,Wrong maintenance method,"The canopy shall comply with the minimum specified in the booklet ""Bush Tractor Canopies"" published by the Department of Labour.
Properly maintained in a sound and safe condition and inspected at least daily. Ensure machine is suitable for work. Ensure
operator is competent - only trained people operate machines unless they are properly supervised. Never leave the tractor
unattended with the engine running.",,Minimise,
465,Ground Base Logging,Debris,Get the fallers to trim the tree as cleanly as possible. Get rid of debris that is likely to be in the way before stropping up.,,Minimise,
462,Ground Base Logging,Faller/Breaker out interaction,"Tell the fallers where you will be pulling from and use clear signals and instructions when working closely. Plan the operation so the
felling is in a different area from the extraction process. Be aware of each other, watch to see that the faller has seen you before
approaching and check to see where the machine is.",,Eliminate,
464,Ground Base Logging,Getting on and off skidder/tractor,"Look before you step off the machine and use the steps and hand rails, do not jump off. Wear well fitted boots, done up properly.
Park in a secure place with the blade down and park lock on. Remember to re-clip your seat belt.",,Eliminate,
466,Ground Base Logging,Log movement,"Logs will often move in more than just the direction they are being pulled, due to stumps, slope and other obstacles. Watch the drag
as it is being winched in. If breaking out, stand in a safe place – to the side and behind the drag being pulled to the machine is
usually best. Communicate with clear signals and instructions.",,Isolate,
468,Ground Base Logging,Machine movement,"Maintain and use an effective hand brake. Lower the blade. Have adequate rope length so the machine can be parked in a secure
place during the breaking out phase. Watch for debris being moved by the machine. Dig wheels/tracks into the ground to set a
stable platform.",,Eliminate,
461,Ground Base Logging,Machine worker interaction,"Always be aware of where the machine is and what it is doing. When operating, watch for workers and communicate with clear
signals that are known and understood by all crew. Adequate training for all staff working around machinery.",,Eliminate,
463,Ground Base Logging,Parking on a slope,"Park across slope of hill, if not practical - park with blade facing down hill. Drop the blade and apply the hand/park brake. Park with
the brake behind a solid stump. Ensure the hand/park brake is kept in good working order.",,Eliminate,
467,Ground Base Logging,Stumps,"Be aware that logs can be caught on stumps when being winched in and flick around – so ensure that you stand in a safe place.
Strop logs up within 1 metre from the end they are being pulled by. Fallers must cut their stumps as low as possible. Operators are
not to winch in or move off until the breaker out is clear (e.g. in the clear and out of the rope bight).",,Eliminate,
470,Ground Base Logging,Winching around corners or blind areas,"Use an observer (your breaker out). Make sure all persons are well clear of the danger area. Beware of resistance pulling the
machine sideways.",,Eliminate,
469,Ground Base Logging,Winching on a slope,Avoid winching sideways on a slope. Always winch with the machine and logs in a straight line.,,Minimise,
37,Health Hazards,A poorly maintained saw,"If any part of a saw is not working correctly due to damage or wear it should be repaired, replaced or sharpened.",,Eliminate,
11,Health Hazards,Alcohol Abuse,Avoid drinking alcohol at least 36 hours before carrying out any hard physical work.,,Eliminate,
51,Health Hazards,Boredom and concentration span,Job rotation - Give Operators driver a break now and then.,,Minimise,
6,Health Hazards,Chemicals,"Unless trained/qualified (approved handler) in the handling of or competent in the use of chemicals, do not use.
KEEP AWAY!",,Eliminate,
41,Health Hazards,CO2 poisoning and emissions,"Ensure that all machines have functioning exhaust systems. If operators feel sick stop machine immediately and move to a well
ventilated area.
If working in quarries or pits, try to keep open air movement.
If there is a danger of ongoing poisoning contact management to provide a CO2 warning device.",,Minimise,
68,Health Hazards,Dehydration and Heat Exhaustion,"Regularly drink fluids (water or preferably PowerAde, Gatorade, Refresh “Active” etc) at a rate of 0.5 litres per hour and up to 1 litreper hour in hot conditions.Drink before you feel thirsty.Do not drink fluids, like soft drinks and cordials, that have more than 8% carbohydrate content.Drink high carbohydrate drinks after work to replace energy levels.",,Minimise,
13,Health Hazards,Drugs,"Avoid all non-prescription drugs as they seriously affect your mental and physical ability to work.Inform the boss if you are on any medication that may affect your work. Stay home if necessary.Before receiving any medication, tell your doctor what you do for a living.If you are on long tern medication for a serious health complaint inform the boss or crew of your condition in case you are involved inan emergency at work.",,Eliminate,
21,Health Hazards,Alcohol,Don’t drink and drive.,,Eliminate,
5,Health Hazards,Dust,"Keep upwind of machine.
If possible keep back to dust if unable to avoid dust cloud.
Wear the respirator mask provided if required.",,Isolate,
85,Health Hazards,Early over exertion,"If starting a new job, allow time for the body to get used to it before working flat out. Start each day with a series of stretching and
warm up exercises.",,Minimise,
10,Health Hazards,Early starts,"Ensure each night you replace the sleep you lose in the morning. If you get up earlier go to bed earlier.
Once early starts have finished allow time for your body to recover.",,Minimise,
8,Health Hazards,Excavator bunching logs and loading stem truck,"All workers and visitors to keep 2 tree lengths from excavator.
Truck operator to be in front of cab when loading.",,Minimise,
